Trade_Region,Sub_Region,Service_Code,Service_Name,Frequency,Unique_Port_Count,Port_Call_Count,Key_Features,Source_File,Source_Effective_Date,Data_Notes
Intra Asia,East Coast India,BD1,Chittagong Service,Rolling,2,3,High frequency of calls.; Flexible berthing with partners calling CCT/NCT and PIL-operated vessels calling GCB/NCT/CCT.,BD1-CHITTAGONG-SERVICE_PIL-L24042026(1).pdf,2026-04-24,
Intra Asia,East Coast India,BD2,Chittagong Mongla Service,Rolling,3,4,Independent service.; One of two exclusive callers for MGL.,BD2-CHITTAGONG-MONGLA-SERVICE_PIL-L24042026.pdf,2026-04-24,Arrival and departure weekdays are unavailable in the source PDF.
Intra Asia,East Coast India,CAS,Calcutta Express Service,Rolling,2,3,Independent service with 4 vessels.; High frequency of calls.,CAS-CALCUTTA-EXPRESS-SERVICE_PIL-L24042026.pdf,2026-04-24,
Intra Asia,East Coast India,CCS,China Calcutta Service,Weekly,5,6,Pioneer in offering direct China to Kolkata service.; Direct South China to Haiphong and Haiphong to Kolkata connectivity.; Geared vessels with berthing priority at Kolkata.,CCS-CHINA-CALCUTTA-SERVICE_PIL-L24042026.pdf,2026-04-24,
Intra Asia,East Coast India,CVI,China Vizag India Service,Weekly,7,9,Direct weekly caller from Central/South China to Chennai / Gangavaram.; WSP and SIN connectivity from Chennai/Gangavaram on Eastbound.,CVI-CHINA-VIZAG-INDIA-SERVICE_PIL-L24042026.pdf,2026-04-24,Singapore appears twice in the operating rotation before the loop closes at Shanghai.
Intra Asia,East Coast India,YGS,Yangon Service,Weekly,2,3,Weekly direct call from SIN-RGN v.v.,YGS-YANGON-SERVICE_PIL-L24042026.pdf,2026-04-24,
